北京市,北京市市辖区,北京,北京北京市,北京市朝阳区黑庄户乡大鲁店东街甲1号,18765918022,27889,0,"116.590155,39.831585"
河北省,保定市,保定,河北省保定市,保定天威西路5298号,18632205721,5880,0,"115.358217,38.864358"
河北省,邯郸市,邯郸,河北省邯郸市,南环机场路,13722699089,7500,0,"114.449538,36.556779"
河北省,唐山市,唐山,河北省唐山市,迎宾路20号,13466623694,11000,0,"118.085057,39.515667"
河北省,张家口市,张家口,河北省张家口市,西山产业园煤机路12号龙辰博鳌物流基地10号库,18931307355,1800,0,"114.805108,40.787551"
天津市,天津市市辖区,天津,天津天津市,津南区八里台镇海尔创新产业园,18701534517,31776.4,0,"117.344160,38.952469"
河北省,承德市,承德,河北省承德市,承德市开发区东西营工业园区A4-10承德正兴物流有限公司院内,18601246951,10000,2000,"118.034341,40.860825"
河北省,衡水市,衡水,河北省衡水市,衡水市苏正开发区冀衡路南河北博信医药公司院内,15931022417,1800,300,"115.734178,37.787999"
山西省,太原市,太原,山西省太原市,许坦东街18号,13363438168,40000,2000,"112.606912,37.801372"
河北省,沧州市,沧州,河北省沧州市,长芦北大道中国农资物流园内,13165096008,3650,300,"116.898863,38.339657"
山西省,大同市,大同,山西省大同市,山西大同南郊区水泊寺乡西坟村中铁十七局院内,13734218609,3400,0,"113.363333,40.107232"
山西省,长治市,长治,山西省长治市,长治市郊区堠北庄镇余庄村天苑农业科技产业园内,18935110307,3500,500,"113.034386,36.215816"
山西省,临汾市,侯马,山西省临汾市,海军街1号保税园区物流配送库,18636265805,7000,1000,"111.400018,35.615120"
内蒙古自治区,包头市,包头,内蒙古包头市,110国道666公里处羊山窑路口北300米德泰汇塑业院内,18035788828,19000,8000,"109.942268,40.663063"
内蒙古自治区,呼和浩特市,呼市,内蒙古呼和浩特市,呼和浩特市金川开发区金二道兰太药业院内,18247112524,8880,0,"111.566891,40.805556"
